n,core,h,time,error
80,1,2,0.48,0.000867
80,1,3,0.044,0.000609
80,1,1.5,0.074,0.000196
80,2,2,0.058,0.000727
80,2,3,0.052,0.000447
80,2,1.5,0.105,0.000192
80,4,2,0.03,0.000379
80,4,3,0.058,0.000308
80,4,1.5,0.128,0.000185
80,8,2,0.02,0.000326
80,8,3,0.0759,0.000295
80,8,1.5,0.144,0.000145
800,1,2,6.308,0.001
800,1,3,3.057,0.0004
800,1,1.5,37.89,0.0001
800,2,2,1.43,0.000166
800,2,3,0.185,7.5E-05
800,2,1.5,22.53,1.83E-05
800,4,2,0.494,0.00139
800,4,3,0.0161,0.000612
800,4,1.5,13.45,0.000261
800,8,2,0.3,0.000118
800,8,3,0.000209,2.2E-05
800,8,1.5,14.66,9.5E-06
8000,1,2,2.421,9.99E-05
8000,1,3,24.71,9.99E-06
8000,1,1.5,0.0001,1E-06
8000,2,2,1.14,5.04E-05
8000,2,3,0.027,8.89E-06
8000,2,1.5,0.0001,1E-06
8000,4,2,0.239,4.51E-05
8000,4,3,0.8,7.66E-06
8000,4,1.5,0.0001,1E-06
8000,8,2,0.15,5.38E-05
8000,8,3,1.95E-05,2E-05
8000,8,1.5,0.0001,1E-06
